"word","sad"
"abandon",TRUE
"abandoned",TRUE
"abandonment",TRUE
"abduction",TRUE
"abortion",TRUE
"abortive",TRUE
"abscess",TRUE
"absence",TRUE
"absent",TRUE
"absentee",TRUE
"abuse",TRUE
"abysmal",TRUE
"abyss",TRUE
"accident",TRUE
"accursed",TRUE
"ache",TRUE
"aching",TRUE
"adder",TRUE
"adrift",TRUE
"adultery",TRUE
"adverse",TRUE
"adversity",TRUE
"afflict",TRUE
"affliction",TRUE
"affront",TRUE
"aftermath",TRUE
"aggravating",TRUE
"agony",TRUE
"ail",TRUE
"ailing",TRUE
"alcoholism",TRUE
"alienated",TRUE
"alienation",TRUE
"anathema",TRUE
"anchorage",TRUE
"anguish",TRUE
"animosity",TRUE
"annihilated",TRUE
"annihilation",TRUE
"annulment",TRUE
"anthrax",TRUE
"antisocial",TRUE
"anxiety",TRUE
"apathetic",TRUE
"apathy",TRUE
"apologize",TRUE
"appendicitis",TRUE
"arid",TRUE
"arraignment",TRUE
"arsenic",TRUE
"art",TRUE
"ashamed",TRUE
"ashes",TRUE
"assailant",TRUE
"assassin",TRUE
"assassination",TRUE
"atherosclerosis",TRUE
"atrocity",TRUE
"atrophy",TRUE
"attacking",TRUE
"attenuation",TRUE
"austere",TRUE
"autopsy",TRUE
"avalanche",TRUE
"awful",TRUE
"backwater",TRUE
"bacteria",TRUE
"bad",TRUE
"badly",TRUE
"bang",TRUE
"banish",TRUE
"banished",TRUE
"banishment",TRUE
"bankrupt",TRUE
"bankruptcy",TRUE
"banshee",TRUE
"barren",TRUE
"bastard",TRUE
"battered",TRUE
"battled",TRUE
"beating",TRUE
"beg",TRUE
"beggar",TRUE
"belittle",TRUE
"bereaved",TRUE
"bereavement",TRUE
"betray",TRUE
"betrayal",TRUE
"bier",TRUE
"bigoted",TRUE
"bitch",TRUE
"bitterly",TRUE
"bitterness",TRUE
"black",TRUE
"blackness",TRUE
"bleak",TRUE
"bleeding",TRUE
"blemish",TRUE
"blight",TRUE
"blighted",TRUE
"blindly",TRUE
"blindness",TRUE
"blockade",TRUE
"bloodshed",TRUE
"bloody",TRUE
"blue",TRUE
"blues",TRUE
"blunder",TRUE
"bomb",TRUE
"bomber",TRUE
"bondage",TRUE
"boredom",TRUE
"bothering",TRUE
"bottom",TRUE
"breakup",TRUE
"broke",TRUE
"broken",TRUE
"brute",TRUE
"bugaboo",TRUE
"bum",TRUE
"burdensome",TRUE
"burial",TRUE
"buried",TRUE
"burke",TRUE
"bury",TRUE
"cadaver",TRUE
"cage",TRUE
"calamity",TRUE
"cancel",TRUE
"cancer",TRUE
"captive",TRUE
"captivity",TRUE
"carcass",TRUE
"carcinoma",TRUE
"cardiomyopathy",TRUE
"carnage",TRUE
"case",TRUE
"casket",TRUE
"casualty",TRUE
"cataract",TRUE
"catastrophe",TRUE
"cemetery",TRUE
"chagrin",TRUE
"chaos",TRUE
"chargeable",TRUE
"choke",TRUE
"cholera",TRUE
"chronic",TRUE
"closure",TRUE
"clouded",TRUE
"cloudy",TRUE
"cocaine",TRUE
"coercion",TRUE
"coffin",TRUE
"coldness",TRUE
"collapse",TRUE
"collusion",TRUE
"coma",TRUE
"comatose",TRUE
"commemorate",TRUE
"committal",TRUE
"communism",TRUE
"complain",TRUE
"conceal",TRUE
"concerned",TRUE
"concussion",TRUE
"condemnation",TRUE
"condescension",TRUE
"condolence",TRUE
"confession",TRUE
"confine",TRUE
"confined",TRUE
"confinement",TRUE
"confiscate",TRUE
"conflict",TRUE
"consecration",TRUE
"console",TRUE
"constraint",TRUE
"contaminated",TRUE
"convict",TRUE
"corpse",TRUE
"corrupting",TRUE
"corse",TRUE
"couch",TRUE
"coward",TRUE
"crash",TRUE
"crazy",TRUE
"cremation",TRUE
"cringe",TRUE
"cripple",TRUE
"crippled",TRUE
"criticism",TRUE
"criticize",TRUE
"cross",TRUE
"crucifixion",TRUE
"cruel",TRUE
"cruelty",TRUE
"crumbling",TRUE
"crushed",TRUE
"cry",TRUE
"crying",TRUE
"crypt",TRUE
"cumbersome",TRUE
"cupping",TRUE
"curse",TRUE
"cursed",TRUE
"cutting",TRUE
"cyst",TRUE
"cytomegalovirus",TRUE
"daemon",TRUE
"damage",TRUE
"damages",TRUE
"damnation",TRUE
"danger",TRUE
"dark",TRUE
"darken",TRUE
"darkened",TRUE
"darkness",TRUE
"dashed",TRUE
"deadly",TRUE
"death",TRUE
"debacle",TRUE
"debt",TRUE
"decay",TRUE
"decayed",TRUE
"deceased",TRUE
"deceit",TRUE
"deceitful",TRUE
"deceive",TRUE
"decomposed",TRUE
"decomposition",TRUE
"default",TRUE
"defeated",TRUE
"defendant",TRUE
"defenseless",TRUE
"deflate",TRUE
"deformed",TRUE
"deformity",TRUE
"defunct",TRUE
"defy",TRUE
"degeneracy",TRUE
"degrading",TRUE
"delay",TRUE
"delirious",TRUE
"delirium",TRUE
"deluge",TRUE
"delusion",TRUE
"dementia",TRUE
"demise",TRUE
"demolish",TRUE
"demon",TRUE
"demonic",TRUE
"demonstrative",TRUE
"demoralized",TRUE
"denied",TRUE
"depart",TRUE
"departed",TRUE
"departure",TRUE
"dependence",TRUE
"deplorable",TRUE
"deplore",TRUE
"deport",TRUE
"deportation",TRUE
"depraved",TRUE
"depreciated",TRUE
"depress",TRUE
"depressed",TRUE
"depressing",TRUE
"depression",TRUE
"depressive",TRUE
"deprivation",TRUE
"derogation",TRUE
"derogatory",TRUE
"descent",TRUE
"desecration",TRUE
"desert",TRUE
"deserted",TRUE
"desolation",TRUE
"despair",TRUE
"despairing",TRUE
"despotism",TRUE
"destination",TRUE
"destitute",TRUE
"destroyed",TRUE
"destroying",TRUE
"detainee",TRUE
"detention",TRUE
"deteriorate",TRUE
"deteriorated",TRUE
"deterioration",TRUE
"devastate",TRUE
"devastating",TRUE
"devastation",TRUE
"deviation",TRUE
"devil",TRUE
"dictatorship",TRUE
"die",TRUE
"difficulties",TRUE
"difficulty",TRUE
"dilapidated",TRUE
"diminish",TRUE
"dire",TRUE
"disability",TRUE
"disable",TRUE
"disabled",TRUE
"disagreeing",TRUE
"disagreement",TRUE
"disallowed",TRUE
"disappoint",TRUE
"disappointed",TRUE
"disappointing",TRUE
"disappointment",TRUE
"disapproval",TRUE
"disapprove",TRUE
"disapproved",TRUE
"disapproving",TRUE
"disaster",TRUE
"disastrous",TRUE
"discolored",TRUE
"discomfort",TRUE
"disconnect",TRUE
"disconnected",TRUE
"discontent",TRUE
"discontinuity",TRUE
"discourage",TRUE
"discriminate",TRUE
"discrimination",TRUE
"disease",TRUE
"diseased",TRUE
"disembodied",TRUE
"disfigured",TRUE
"disgrace",TRUE
"disgraced",TRUE
"disgruntled",TRUE
"disgust",TRUE
"disheartened",TRUE
"disheartening",TRUE
"dishonest",TRUE
"dishonor",TRUE
"disillusionment",TRUE
"disliked",TRUE
"dislocated",TRUE
"dismal",TRUE
"dismay",TRUE
"dismemberment",TRUE
"dismissal",TRUE
"disparage",TRUE
"disparaging",TRUE
"disparity",TRUE
"dispassionate",TRUE
"dispel",TRUE
"displaced",TRUE
"displeased",TRUE
"dispossessed",TRUE
"disqualified",TRUE
"disqualify",TRUE
"disrespectful",TRUE
"disservice",TRUE
"dissolution",TRUE
"distraught",TRUE
"distress",TRUE
"disturbance",TRUE
"disturbed",TRUE
"divorce",TRUE
"doldrums",TRUE
"dole",TRUE
"dolor",TRUE
"domination",TRUE
"doomed",TRUE
"doomsday",TRUE
"doubt",TRUE
"downfall",TRUE
"drab",TRUE
"dreadful",TRUE
"dreadfully",TRUE
"dreary",TRUE
"drown",TRUE
"drugged",TRUE
"dull",TRUE
"dumps",TRUE
"duress",TRUE
"dwarfed",TRUE
"dying",TRUE
"dysentery",TRUE
"earthquake",TRUE
"elimination",TRUE
"emaciated",TRUE
"embarrass",TRUE
"embarrassment",TRUE
"embolism",TRUE
"emergency",TRUE
"emptiness",TRUE
"encumbrance",TRUE
"endemic",TRUE
"endless",TRUE
"endocarditis",TRUE
"enmity",TRUE
"enslaved",TRUE
"entangled",TRUE
"epidemic",TRUE
"epitaph",TRUE
"error",TRUE
"eschew",TRUE
"esteem",TRUE
"euthanasia",TRUE
"evanescence",TRUE
"evasion",TRUE
"evict",TRUE
"eviction",TRUE
"evil",TRUE
"excluded",TRUE
"excluding",TRUE
"exclusion",TRUE
"execution",TRUE
"executioner",TRUE
"exhausted",TRUE
"exhaustion",TRUE
"exile",TRUE
"exorcism",TRUE
"expel",TRUE
"expire",TRUE
"explode",TRUE
"expulsion",TRUE
"exterminate",TRUE
"extinct",TRUE
"failing",TRUE
"failure",TRUE
"fainting",TRUE
"faithless",TRUE
"fall",TRUE
"falling",TRUE
"famine",TRUE
"fasting",TRUE
"fat",TRUE
"fatal",TRUE
"fatality",TRUE
"fatigued",TRUE
"fatty",TRUE
"fault",TRUE
"fearful",TRUE
"fearfully",TRUE
"feeble",TRUE
"feeling",TRUE
"fell",TRUE
"feudalism",TRUE
"flaccid",TRUE
"flaw",TRUE
"fleece",TRUE
"flinch",TRUE
"flog",TRUE
"flop",TRUE
"flounder",TRUE
"forbid",TRUE
"foreclose",TRUE
"forfeit",TRUE
"forfeiture",TRUE
"forgotten",TRUE
"forlorn",TRUE
"forsake",TRUE
"forsaken",TRUE
"fortress",TRUE
"fragile",TRUE
"frailty",TRUE
"fraught",TRUE
"frayed",TRUE
"frighten",TRUE
"frightful",TRUE
"frown",TRUE
"frowning",TRUE
"fruitless",TRUE
"frustrate",TRUE
"fugitive",TRUE
"funeral",TRUE
"funk",TRUE
"furrow",TRUE
"fury",TRUE
"fuss",TRUE
"futile",TRUE
"gallows",TRUE
"geriatric",TRUE
"ghetto",TRUE
"gloom",TRUE
"gloomy",TRUE
"glum",TRUE
"gonorrhea",TRUE
"gore",TRUE
"gory",TRUE
"grave",TRUE
"gray",TRUE
"grief",TRUE
"grievance",TRUE
"grieve",TRUE
"grievous",TRUE
"grim",TRUE
"groan",TRUE
"grounded",TRUE
"grumpy",TRUE
"guillotine",TRUE
"guilt",TRUE
"guilty",TRUE
"gullible",TRUE
"haggard",TRUE
"halter",TRUE
"halting",TRUE
"hamstring",TRUE
"handicap",TRUE
"hanging",TRUE
"hardship",TRUE
"harmful",TRUE
"harry",TRUE
"hate",TRUE
"hateful",TRUE
"hatred",TRUE
"haunted",TRUE
"hearse",TRUE
"heartache",TRUE
"heartfelt",TRUE
"heartless",TRUE
"hell",TRUE
"hellish",TRUE
"helpless",TRUE
"helplessness",TRUE
"hemorrhage",TRUE
"hermit",TRUE
"hideous",TRUE
"hindering",TRUE
"hoary",TRUE
"hoax",TRUE
"hobo",TRUE
"hollow",TRUE
"holocaust",TRUE
"homeless",TRUE
"homesick",TRUE
"homicide",TRUE
"honest",TRUE
"hopeless",TRUE
"hopelessness",TRUE
"horrid",TRUE
"horrific",TRUE
"horrifying",TRUE
"horror",TRUE
"horrors",TRUE
"hospice",TRUE
"hospital",TRUE
"howl",TRUE
"humble",TRUE
"humbled",TRUE
"humbug",TRUE
"humiliate",TRUE
